age,NumberOfDependents,MonthlyIncome,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate,imputed_income
71,0.0,12100.0,0.059912404,6,1,0.02159946,0,0,0,0.0
32,0.0,1350.0,0.163582531,5,0,0.220319872,0,0,0,0.0
79,0.0,5833.0,0.054850874,17,0,0.007914997,0,0,0,0.0
81,0.0,5437.0,0.010483722641162405,15,0,0.025236117,0,0,0,1.0
87,0.0,11867.0,0.164475902,7,2,0.281885767,0,0,0,0.0
69,3.0,5437.0,0.3549751701305867,8,1,0.046486919,0,0,0,1.0
64,0.0,6000.0,0.482752875,13,2,0.15400752,0,0,0,0.0
56,0.0,8390.0,0.094506018,7,1,0.00763178,0,0,0,0.0
29,0.0,2000.0,0.099450275,2,0,0.354107649,0,0,0,0.0
36,1.0,10000.0,0.456954305,4,2,0.301136122,0,0,0,0.0
48,1.0,9458.0,0.225393805,14,1,0.011933068,0,0,0,0.0
62,0.0,5437.0,0.18502850836858561,5,1,0.005799613,0,0,0,1.0
54,0.0,5507.0,0.159767611,11,1,0.014415563,0,0,0,0.0
53,1.0,4950.0,0.066047263,6,0,0.285847642,0,0,0,0.0
60,1.0,5500.0,0.641337939,9,1,0.559293879,0,0,0,0.0
55,0.0,5437.0,0.026117344123597574,6,0,0.082071121,0,0,0,1.0
57,1.0,9383.0,0.317242114,11,3,0.090210425,0,0,0,0.0
46,3.0,15400.0,0.39783131,4,2,0.12019399,0,0,0,0.0
52,3.0,10000.0,0.351464854,8,2,0.119122022,0,0,0,0.0
62,1.0,9736.0,0.377118209,17,2,0.631424218,0,0,0,0.0
30,2.0,5000.0,0.580283943,10,3,0.043956044,0,0,1,0.0
21,0.0,5437.0,0.03549751701305867,2,0,0.9999999,0,0,0,1.0
63,0.0,5437.0,0.45116792348721724,6,1,0.295529049,0,0,0,1.0
35,1.0,5700.0,0.267321523,5,1,0.0,0,0,0,0.0
40,4.0,5437.0,0.04230274048188339,4,1,0.002674933,1,0,0,1.0
59,0.0,5437.0,0.06345411072282509,4,1,0.002230598,0,0,0,1.0
63,1.0,5437.0,0.04616516461283796,5,0,0.007720751,0,0,0,1.0
47,2.0,3167.0,0.008207071,9,0,0.009749756,0,1,0,0.0
67,0.0,5437.0,0.017840720985837777,3,0,0.000902746,0,0,0,1.0
80,0.0,5437.0,0.6170682361596469,5,1,0.022237566,0,0,0,1.0
54,0.0,3333.0,1.229454109,15,0,0.804412165,0,0,0,0.0
43,0.0,3872.0,0.169894139,3,0,0.9999999,0,0,0,0.0
37,2.0,2083.0,0.850767754,8,1,0.748057958,0,0,0,0.0
53,0.0,1800.0,0.69516935,13,1,0.0,0,0,0,0.0
47,2.0,2500.0,0.539384246,4,1,0.204057014,0,0,0,0.0
50,0.0,2178.0,0.385956861,11,0,0.170858446,0,0,0,0.0
66,0.0,5437.0,0.5742137208019128,9,1,0.001023785,0,0,0,1.0
24,0.0,2557.0,0.206802189,6,0,0.047421797,0,0,0,0.0
43,0.0,7400.0,0.014997973,5,0,0.176254916,1,0,0,0.0
49,0.0,5437.0,0.17656796027220895,9,1,0.027819799,0,0,0,1.0
45,3.0,9000.0,0.400733252,20,2,0.091177301,1,0,0,0.0
30,0.0,23000.0,0.013532882,5,0,0.213321864,0,0,0,0.0
36,0.0,2250.0,0.710350955,18,0,0.604395604,0,0,0,0.0
46,0.0,5437.0,0.4281773036601067,6,1,0.095238095,0,0,0,1.0
55,2.0,3500.0,0.540702656,8,1,0.025711593,0,0,0,0.0
42,0.0,4500.0,0.001333037,7,0,0.005802653,0,0,0,0.0
89,0.0,6223.0,0.071658098,2,0,0.9999999,0,0,0,0.0
41,2.0,5437.0,0.10373367665992275,5,0,0.632911392,0,2,0,1.0
48,2.0,3200.0,0.138394252,4,0,0.328745368,0,0,0,0.0
36,0.0,3600.0,0.119133574,3,0,0.845436376,0,0,0,0.0
29,3.0,3767.0,0.06104034,1,0,0.9999999,0,0,0,0.0
43,1.0,5437.0,0.0538900128747471,4,0,0.019193196,0,0,0,1.0
76,0.0,5437.0,0.0062534485929740665,4,0,0.0,0,0,0,1.0
38,1.0,8291.0,0.235769416,18,1,0.116108907,0,0,0,0.0
41,0.0,3500.0,0.475292773,8,1,0.079956802,0,0,0,0.0
36,1.0,5150.0,0.295282469,3,1,0.001333222,0,0,0,0.0
57,3.0,4800.0,0.427202666,10,1,0.129388236,1,0,0,0.0
70,0.0,5437.0,0.48832076512782785,13,2,0.059612309,0,0,0,1.0
41,0.0,5640.0,0.18666903,8,1,0.03173327,1,0,0,0.0
53,,5437.0,0.0020231745447857274,1,0,0.9999999,0,0,2,1.0
80,0.0,5437.0,0.8076144932867391,20,1,0.976891827,0,0,0,1.0
40,1.0,8629.0,0.070683662,8,0,0.085602825,0,0,0,0.0
47,0.0,2500.0,0.31427429,3,0,0.460961587,0,0,0,0.0
76,0.0,6875.0,0.214514252,22,4,0.025109643,0,0,0,0.0
61,0.0,500.0,2.4702802109800093,5,2,0.161098326,1,0,0,0.0
43,0.0,3000.0,0.254581806,3,1,0.9999999,0,0,0,0.0
40,0.0,7416.0,0.342321693,10,1,0.207930975,0,0,0,0.0
40,0.0,13885.0,0.400547314,18,4,0.699617595,0,0,0,0.0
69,0.0,3628.0,0.501791127,12,2,0.021970593,0,1,0,0.0
67,0.0,8250.0,0.113319598,9,2,0.004373217,0,0,0,0.0
53,0.0,3950.0,0.660339155,10,1,0.022750929,0,0,0,0.0
51,0.0,5000.0,0.339732054,8,1,0.0,0,0,0,0.0
56,1.0,1600.0,0.248594628,3,0,0.674529511,1,0,0,0.0
26,0.0,5000.0,0.319536093,7,1,0.157536985,0,0,0,0.0
78,1.0,5437.0,0.27368033842192385,7,1,0.106258868,0,0,0,1.0
72,0.0,2759.0,0.011594203,4,0,0.020681872,0,0,0,0.0
33,1.0,1647.0,0.0,0,0,0.9999999,0,0,0,0.0
47,2.0,3400.0,0.864157601,11,1,0.496134419,1,2,1,0.0
58,0.0,8333.0,0.004799616,16,0,0.013867979,0,0,0,0.0
73,0.0,5437.0,0.200294279933787,1,1,0.9999999,0,0,0,1.0
54,2.0,10500.0,0.445100467,8,2,0.581379421,0,0,0,0.0
35,1.0,4091.0,0.549853372,10,0,0.543006477,0,0,0,0.0
69,0.0,10416.0,0.011903619,11,0,0.053834571,0,0,0,0.0
31,0.0,6000.0,0.166972171,6,0,0.766307971,0,0,0,0.0
53,0.0,6900.0,0.144326909,4,1,0.0,0,0,0,0.0
34,0.0,6833.0,0.323236757,5,2,0.430027804,0,0,0,0.0
63,0.0,5500.0,0.585893474,8,1,0.499766952,0,0,0,0.0
24,0.0,2430.0,0.218839984,4,0,0.9999999,1,1,0,0.0
44,0.0,5437.0,0.0,1,0,0.9999999,0,0,0,1.0
30,0.0,8000.0,0.467191601,6,1,0.010352806,0,0,0,0.0
49,2.0,5500.0,0.261043447,7,1,0.547740602,2,0,0,0.0
47,1.0,9000.0,0.438840129,16,2,0.11285044,0,0,0,0.0
35,0.0,5437.0,0.7151002391024462,4,1,0.9999999,0,0,0,1.0
40,0.0,4855.0,0.361408567,7,1,0.41315915,0,0,0,0.0
76,0.0,6723.0,0.0,1,0,0.0,0,0,0,0.0
64,0.0,2500.0,0.534586166,5,1,0.146717457,0,0,0,0.0
36,1.0,7166.0,0.05036975,6,0,0.414930845,0,2,0,0.0
76,0.0,2614.0,0.014531549,4,0,0.014854645,0,0,0,0.0
30,0.0,6085.0,0.638843247,14,4,0.235398721,0,0,0,0.0
34,3.0,8940.0,0.897774298,10,5,0.056106592,0,0,0,0.0
65,0.0,5000.0,0.302739452,5,1,0.323988,0,0,0,0.0
37,3.0,1.0,2.4702802109800093,13,1,0.089759669,0,0,0,0.0
56,0.0,8127.0,0.399975394,22,1,0.482889618,0,0,0,0.0
41,3.0,9834.0,0.412404677,11,3,0.218217814,0,0,0,0.0
60,2.0,6364.0,0.349410841,8,2,0.15879481,0,0,0,0.0
35,0.0,6364.0,0.326472899,9,1,0.010577308,0,0,0,0.0
25,1.0,5437.0,0.009196247930844215,2,0,0.9999999,1,0,1,1.0
36,2.0,8749.0,0.265942857,5,1,0.697315134,0,0,0,0.0
65,3.0,5437.0,0.6705903991171602,15,1,0.825346355,0,0,0,1.0
67,0.0,3016.0,0.009280742,5,0,0.02295066,0,0,0,0.0
49,3.0,10300.0,0.294922823,16,1,0.07210651,0,0,1,0.0
21,,5437.0,0.19312120654772852,5,1,0.0,0,0,0,1.0
63,0.0,3308.0,0.382290722,11,0,0.442662823,1,0,0,0.0
52,1.0,7300.0,0.31721682,9,1,0.00222607,0,0,0,0.0
57,0.0,5437.0,0.7380908589295567,13,1,0.553580394,1,0,0,1.0
44,2.0,4927.0,0.702719156,8,2,0.294977309,0,0,0,0.0
65,0.0,5437.0,0.01747287106860401,5,0,0.203918433,0,0,0,1.0
37,2.0,5437.0,0.32150082766231375,2,1,0.9999999,0,0,0,1.0
64,0.0,21825.0,0.076789151,12,1,0.575391662,0,0,0,0.0
55,0.0,6000.0,0.396933844,7,1,0.046284061,0,0,0,0.0
85,0.0,2498.0,0.716686675,12,1,0.083858553,0,0,0,0.0
63,1.0,7830.0,0.328949049,8,2,0.057342139,0,0,0,0.0
59,3.0,9773.0,0.049109883,7,1,0.076974358,0,0,0,0.0
40,0.0,15800.0,0.13644706,4,1,0.561325849,0,0,0,0.0
76,0.0,900.0,0.085460599,7,0,0.027967087,0,0,0,0.0
57,1.0,2400.0,0.118700541,4,0,0.349005761,0,0,0,0.0
81,0.0,140.0,0.319148936,8,0,0.029751814,0,0,0,0.0
62,0.0,5437.0,0.017656796027220895,6,0,0.096303414,0,0,0,1.0
36,1.0,6634.0,0.22426526,6,1,0.638896316,2,0,0,0.0
50,0.0,4100.0,0.587661546,5,1,0.187003754,0,0,0,0.0
52,0.0,5437.0,1.2808534118079824,6,2,0.071397213,0,0,0,1.0
80,0.0,5437.0,0.0001839249586168843,3,0,0.001285678,0,0,0,1.0
48,1.0,5700.0,0.202069812,8,1,0.110712803,0,0,0,0.0
72,0.0,5437.0,0.7147323891852124,7,2,1.0929557681400022,0,0,0,1.0
68,1.0,9792.0,0.649545594,16,2,0.762607723,0,0,0,0.0
66,1.0,6000.0,0.256123979,7,1,0.132910154,0,0,0,0.0
69,0.0,5500.0,0.578985639,11,2,0.00945116,0,0,0,0.0
73,0.0,10500.0,0.003999619,14,0,0.012252999,0,0,0,0.0
63,1.0,5820.0,0.431025597,9,2,0.621818547,0,0,0,0.0
61,2.0,5437.0,0.7610814787566673,20,3,0.065308982,0,0,0,1.0
38,0.0,6100.0,0.105884281,6,0,0.004380535,0,0,0,0.0
45,0.0,5437.0,0.45834099687327573,7,2,0.161218342,0,0,0,1.0
67,1.0,10333.0,0.335107412,7,2,0.389573201,4,0,0,0.0
39,1.0,3800.0,0.372796632,4,1,0.0,0,0,0,0.0
60,1.0,4900.0,0.599061416,9,2,0.053022405,0,0,0,0.0
85,,5437.0,0.004414199006805224,3,0,0.107340988,0,0,0,1.0
40,4.0,6000.0,0.636060657,8,3,1.06902612,1,0,0,0.0
77,0.0,4200.0,0.0,13,0,0.0,0,0,0,0.0
55,2.0,10034.0,0.860886896,9,3,0.001999765,0,0,0,0.0
50,0.0,6700.0,0.420832712,9,1,0.227530274,0,0,0,0.0
56,0.0,9000.0,0.180424397,2,1,0.122087791,0,0,0,0.0
28,0.0,2000.0,0.157421289,6,0,0.49244713,1,0,0,0.0
64,3.0,15916.0,0.260287743,15,2,0.102723214,0,0,0,0.0
39,0.0,5437.0,0.0680522346882472,3,1,0.0,0,0,0,1.0
25,0.0,2666.0,0.118860142,2,0,0.0,0,0,0,0.0
49,0.0,4482.0,0.398393933,15,1,0.041178978,0,0,0,0.0
42,2.0,5800.0,0.687640062,8,1,0.138454075,0,0,0,0.0
35,0.0,5000.0,0.117576485,5,0,0.9999999,1,1,2,0.0
35,1.0,9976.0,0.556379673,9,6,0.0,1,0,0,0.0
56,1.0,10000.0,0.250074993,7,2,0.026800767,0,0,0,0.0
63,0.0,10500.0,0.001714122,10,0,0.01284035,0,0,0,0.0
37,0.0,3583.0,0.164341518,9,0,0.286206563,0,0,0,0.0
56,0.0,9750.0,0.141318839,7,1,0.032713702,2,0,0,0.0
79,0.0,2036.0,0.10652921,7,0,0.031568535,0,0,0,0.0
56,1.0,3767.0,0.444267516,6,1,0.700294428,0,0,0,0.0
56,0.0,4583.0,0.080497382,4,0,0.902350344,0,0,0,0.0
70,0.0,7500.0,0.261165178,7,2,0.027450727,0,0,0,0.0
58,0.0,4889.0,0.014928425,5,0,0.033079559,0,0,0,0.0
67,0.0,11150.0,1.217110573,9,3,0.00449985,0,0,0,0.0
35,1.0,11000.0,0.114171439,9,1,0.076350119,0,0,0,0.0
58,0.0,5437.0,0.47323891852124333,7,1,0.676519246,0,0,0,1.0
73,,5437.0,0.42173993010851574,6,2,0.346782661,0,0,0,1.0
63,0.0,7491.0,0.450213561,7,2,0.581441029,0,0,0,0.0
64,0.0,1432.0,1.605024424,7,2,0.746330147,0,0,0,0.0
58,0.0,1600.0,0.738913179,6,1,0.30299667,0,0,0,0.0
70,1.0,5437.0,0.3619643185580283,4,1,0.519917473,0,0,0,1.0
44,0.0,6359.0,0.358962264,8,2,0.142968584,0,0,0,0.0
71,0.0,3400.0,0.089679506,7,1,0.012613584,0,0,0,0.0
58,0.0,6117.0,0.49378882,14,2,0.206784364,1,0,0,0.0
37,0.0,5916.0,0.236775393,9,1,0.0,0,0,0,0.0
33,2.0,7228.0,0.173191313,7,0,0.757260294,0,0,0,0.0
48,0.0,5437.0,1.06198271105389,9,5,0.108635655,0,0,0,1.0
35,1.0,6000.0,0.224962506,5,0,0.571989505,0,0,0,0.0
44,2.0,11917.0,0.274123175,23,2,0.026090209,0,0,0,0.0
51,0.0,4900.0,0.071822077,6,0,0.873312669,0,0,0,0.0
66,3.0,7600.0,0.204052098,6,1,0.0,0,0,0,0.0
55,3.0,3500.0,0.938017709,5,3,0.878090294,0,0,0,0.0
55,0.0,3000.0,0.422192602,4,1,0.003961386,0,0,0,0.0
62,0.0,8416.0,0.171438755,11,2,0.10616984,0,0,0,0.0
87,0.0,5437.0,0.2926246091594629,6,1,0.010526131,0,0,0,1.0
52,0.0,9693.0,0.357540747,8,2,0.520558206,0,0,0,0.0
75,0.0,5437.0,0.30881000551774873,13,2,0.167877424,0,0,0,1.0
42,2.0,6967.0,0.428960964,12,1,0.375046417,2,0,0,0.0
38,0.0,12872.0,0.599005671,11,6,0.0,0,0,0,0.0
59,2.0,6965.0,0.84137238,16,2,0.509101222,0,0,0,0.0
63,0.0,5437.0,0.0038624241309545707,2,0,0.03484976,0,0,0,1.0
68,0.0,22583.0,0.003719447,7,0,0.038807688,0,0,0,0.0
73,0.0,5437.0,0.44252345043222363,22,1,0.718490829,3,0,0,1.0
86,0.0,3419.0,0.006432749,23,0,0.004539136,0,0,0,0.0
49,2.0,23000.0,0.038347139,17,2,0.561675441,0,0,0,0.0
24,0.0,5437.0,0.005149898841272761,1,0,0.941058941,0,0,0,1.0
57,0.0,5437.0,0.4901600147139967,8,2,0.14060824,0,0,0,1.0
42,,5437.0,0.411807982343204,6,2,0.5834147,0,0,0,1.0
44,4.0,5437.0,0.4465697995217951,8,1,0.877336811,2,0,0,1.0
57,0.0,5437.0,1.2315615228986574,8,2,0.933834167,2,0,0,1.0
33,0.0,2333.0,0.263067695,5,0,0.622072058,0,0,0,0.0
67,0.0,6044.0,0.274772539,8,1,0.014113031,0,0,0,0.0
38,2.0,4000.0,0.0,0,0,0.9999999,0,0,0,0.0
34,1.0,5666.0,0.090524087,3,0,0.247135843,0,0,0,0.0
39,0.0,15000.0,0.452703153,5,2,0.9999999,0,0,0,0.0
47,2.0,5000.0,0.512697461,3,1,0.030702252,0,0,0,0.0
37,2.0,12000.0,0.315640363,4,2,0.417129144,0,0,0,0.0
64,0.0,2500.0,0.351459416,5,1,0.010865942,0,0,0,0.0
61,0.0,9416.0,0.595943506,19,3,0.400380146,1,0,0,0.0
54,0.0,11040.0,0.157322706,7,1,0.09508107,0,0,0,0.0
44,0.0,5437.0,0.0,0,0,0.9999999,0,0,0,1.0
48,1.0,10294.0,0.144633317,14,1,0.023314672,0,0,0,0.0
47,2.0,5500.0,0.545537175,16,1,0.112636768,0,0,0,0.0
60,0.0,2750.0,0.213376954,6,0,0.613041254,0,0,0,0.0
58,1.0,5500.0,0.537356844,31,1,0.00624674,0,0,0,0.0
52,0.0,5437.0,0.008460548096376677,7,0,0.004164608,0,0,0,1.0
63,0.0,4633.0,0.463314631,6,1,0.06262175,0,0,0,0.0
43,2.0,1.0,2.4702802109800093,10,2,0.988445178,0,0,0,0.0
50,1.0,6637.0,0.521542633,12,3,0.058103129,0,0,0,0.0
55,2.0,4766.0,0.636249213,10,1,0.18236106,0,0,0,0.0
35,2.0,3541.0,0.264257482,7,1,0.431854815,0,0,0,0.0
42,2.0,9500.0,0.423850121,8,2,0.0,0,0,0,0.0
38,2.0,7083.0,0.141304348,8,0,0.015704125,0,0,0,0.0
49,1.0,8920.0,0.219257931,18,2,0.138478801,0,0,0,0.0
46,1.0,6100.0,0.305359777,14,1,0.059809229,1,0,0,0.0
29,0.0,3950.0,0.0,0,0,0.9999999,0,0,0,0.0
50,1.0,3850.0,0.863412101,10,3,0.033560402,0,1,0,0.0
44,0.0,10311.0,0.314875873,12,1,0.718624433,0,0,0,0.0
53,1.0,13166.0,0.406850459,6,1,0.949763078,0,0,0,0.0
92,0.0,1100.0,0.0,1,0,0.0,0,0,0,0.0
58,1.0,7600.0,0.210235495,4,1,0.032710756,0,0,0,0.0
61,2.0,4855.0,0.31878089,12,0,0.476723717,0,0,0,0.0
46,2.0,2302.0,1.090316978,6,2,0.040326547,0,0,0,0.0
70,0.0,5437.0,0.004965973882655877,3,0,0.045247738,0,0,0,1.0
48,0.0,8000.0,0.503812023,10,1,0.116267362,0,0,0,0.0
37,0.0,2000.0,0.48175912,12,2,0.012847022,0,0,0,0.0
56,0.0,10416.0,0.383795719,7,1,0.0,0,0,0,0.0
53,0.0,2400.0,2.4702802109800093,12,1,0.366142075,0,0,0,0.0
34,2.0,1376.0,0.423384168,6,0,0.341633004,0,0,0,0.0
73,0.0,7696.0,0.246849422,4,1,0.9999999,1,0,0,0.0
59,1.0,10666.0,0.338426924,11,1,0.89602197,0,0,0,0.0
34,0.0,3330.0,0.036925848,4,0,0.08396159,0,0,0,0.0
30,0.0,4166.0,0.136069114,5,0,0.792046212,0,0,0,0.0
39,0.0,4708.0,0.79316203,10,3,0.61051498,3,0,0,0.0
87,0.0,3994.0,0.431789737,4,1,0.0,0,0,0,0.0
74,2.0,5766.0,0.004161609,13,0,0.016226075,0,0,0,0.0
43,0.0,9600.0,0.326632642,12,2,0.056627949,0,0,2,0.0
39,0.0,10862.0,0.342354782,14,2,0.4275909,0,0,1,0.0
55,1.0,15360.0,0.080268212,5,1,0.014008669,0,0,0,0.0
31,2.0,8750.0,0.220660496,6,0,0.943464825,0,0,0,0.0
58,0.0,7151.0,0.116470917,7,1,0.015202779,0,0,0,0.0
50,0.0,12036.0,0.317188668,6,2,0.473438374,0,0,0,0.0
47,0.0,4833.0,0.630740588,7,3,0.036230571,0,0,0,0.0
34,0.0,7250.0,0.389049786,5,2,0.618984135,2,1,0,0.0
55,0.0,3250.0,0.144878499,6,0,0.389722056,1,0,0,0.0
22,0.0,820.0,0.0,1,0,0.9999999,0,0,0,0.0
26,0.0,3123.0,0.24871959,3,0,0.459378906,0,0,0,0.0
31,0.0,4833.0,0.413529168,9,1,0.303624234,0,0,0,0.0
79,1.0,6000.0,0.093151141,17,0,0.017890321,0,0,0,0.0
49,0.0,5437.0,0.4916314143829318,6,2,0.12085782,0,0,0,1.0
57,0.0,1700.0,1.41563786,15,1,0.02101762,0,0,0,0.0
79,0.0,5258.0,0.002091652,5,0,0.001349966,0,0,0,0.0
79,0.0,2305.0,0.56461405,15,1,0.120978815,0,0,0,0.0
29,2.0,2924.0,0.002393162,1,0,1.03187251,0,0,2,0.0
75,1.0,3000.0,0.196934355,3,0,0.526739751,0,0,0,0.0
45,0.0,5437.0,0.4359021519220158,7,1,0.9999999,1,0,0,1.0
43,0.0,3668.0,0.944126465,10,1,0.722348146,0,0,1,0.0
64,0.0,5437.0,0.0,1,0,0.0,0,0,0,1.0
63,1.0,10000.0,0.181981802,8,2,0.025284992,0,0,0,0.0
35,1.0,8000.0,0.171853518,6,1,0.528676523,0,0,0,0.0
52,0.0,8552.0,0.656260961,10,2,0.202550847,0,0,0,0.0
47,0.0,10500.0,0.008380154,5,0,0.067601196,0,0,0,0.0
75,0.0,5253.0,0.275980206,6,1,0.028960166,0,0,0,0.0
27,1.0,2500.0,0.081167533,4,0,1.0929557681400022,1,2,2,0.0
49,0.0,5437.0,0.002391024462019496,0,0,0.9999999,0,0,0,1.0
61,0.0,4000.0,0.254186453,11,0,0.004746897,0,0,0,0.0
55,0.0,3550.0,0.063080822,2,0,0.720698254,0,0,0,0.0
63,1.0,8746.0,0.076597691,8,1,0.0262475,0,0,0,0.0
74,1.0,6816.0,0.509168256,18,2,0.113336885,0,0,0,0.0
49,0.0,4244.0,0.290930506,8,2,0.0,0,0,0,0.0
50,0.0,3876.0,0.498065515,7,1,0.052556102,0,0,0,0.0
73,0.0,687.0,1.072674419,7,1,1.013805221,2,0,0,0.0
57,1.0,3522.0,0.005109282,3,0,0.016342293,0,0,0,0.0
74,0.0,5437.0,0.23192937281589113,3,1,0.976090422,0,0,0,1.0
36,0.0,3750.0,0.141295654,3,0,0.609341523,0,0,0,0.0
31,1.0,6537.0,0.493576017,8,2,0.298278133,1,0,0,0.0
58,0.0,7083.0,0.904009034,13,2,0.737145603,0,0,0,0.0
43,0.0,8666.0,0.00634591,7,0,0.036838234,0,0,0,0.0
62,0.0,6200.0,0.507337526,17,1,0.333104765,0,0,0,0.0
46,2.0,5833.0,0.206205005,7,0,0.695430457,0,0,0,0.0
56,0.0,4700.0,0.4450117,19,1,0.018905718,0,0,0,0.0
43,3.0,4000.0,0.504373907,7,2,0.114819027,0,0,0,0.0
27,0.0,5416.0,0.084917851,2,0,0.824621537,0,0,0,0.0
50,2.0,1200.0,2.4702802109800093,12,2,0.800557186,0,0,0,0.0
64,0.0,3800.0,0.026571955,1,0,0.9999999,0,0,0,0.0
62,1.0,6200.0,0.468150298,9,1,0.439308476,0,0,0,0.0
67,0.0,5372.0,0.600967802,13,2,0.009010741,0,0,0,0.0
38,1.0,7441.0,0.323434561,9,2,0.06875725,0,0,0,0.0
35,0.0,5437.0,0.18833915762368952,2,0,0.951652417,0,0,0,1.0
53,1.0,3783.0,0.289112051,5,1,0.206630416,0,0,0,0.0
54,0.0,3000.0,0.586137954,13,1,0.218991588,0,0,0,0.0
88,0.0,4700.0,0.0061689,9,0,0.001399944,0,0,0,0.0
66,0.0,11000.0,0.429324607,7,1,0.037342284,0,0,0,0.0
34,0.0,3000.0,0.63712096,9,1,0.098901099,0,0,0,0.0
61,0.0,6000.0,0.022329612,16,0,0.082061672,0,0,0,0.0
64,2.0,6400.0,0.002343384,4,0,0.013401991,0,0,0,0.0
73,0.0,5437.0,0.0016553246275519589,7,0,0.03489651,0,0,0,1.0
62,0.0,5437.0,0.8160750413831157,18,0,0.996495112,4,4,3,1.0
36,0.0,5437.0,0.9580651094353504,7,2,0.083636539,0,0,0,1.0
